date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:52:38	67/67	---MC-	200	added ('OK')	text/plain	date:Wed,%2009%20Aug%202017%2006:22:36%20GMT	http://keydesign-themes.com/robots.txt		(from )
11:52:42	97748/97748	---MC-	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202017%2006:22:36%20GMT	http://keydesign-themes.com/intact/corporate/	D:/techlopers/keydesign-themes.com/intact/corporate/index.html	(from )
11:52:42	1183/1183	---M--	200	added ('OK')	image/png	etag:%2249f-548e0736dc080%22	http://keydesign-themes.com/intact/corporate/wp-content/themes/intact/images/favicon.png	D:/techlopers/keydesign-themes.com/intact/corporate/wp-content/themes/intact/images/favicon.png	(from http://keydesign-themes.com/intact/corporate/)
11:52:43	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2009%20Aug%202017%2006:22:41%20GMT	http://keydesign-themes.com/intact/corporate/xmlrpc.php	D:/techlopers/keydesign-themes.com/intact/corporate/xmlrpc.php	(from http://keydesign-themes.com/intact/corporate/)
11:52:48	5530/5530	---MC-	200	added ('OK')	application/rss+xml	etag:%22f28ad3c14ed3dfa742e1859c22388239%22	http://keydesign-themes.com/intact/corporate/comments/feed/	D:/techlopers/keydesign-themes.com/intact/corporate/comments/feed/index.html	(from http://keydesign-themes.com/intact/corporate/)
11:52:48	5787/5787	---MC-	200	added ('OK')	application/rss+xml	etag:%2222c84f1949d7f456dc009664204aa549%22	http://keydesign-themes.com/intact/corporate/feed/	D:/techlopers/keydesign-themes.com/intact/corporate/feed/index.html	(from http://keydesign-themes.com/intact/corporate/)
11:52:49	1256742/1256742	---MCZ	200	added ('OK')	text/css	etag:%22132d26-555e99b4ab002-gzip%22	http://keydesign-themes.com/intact/corporate/wp-content/cache/autoptimize/17/css/autoptimize_971b6015c1a25b037ac07b7286ee258f.css	D:/techlopers/keydesign-themes.com/intact/corporate/wp-content/cache/autoptimize/17/css/autoptimize_971b6015c1a25b037ac07b7286ee258f.css	(from http://keydesign-themes.com/intact/corporate/)
11:52:49	773/773	---MC-	200	added ('OK')	application/rss+xml	etag:%22f28ad3c14ed3dfa742e1859c22388239%22	http://keydesign-themes.com/intact/corporate/home/feed/	D:/techlopers/keydesign-themes.com/intact/corporate/home/feed/index.html	(from http://keydesign-themes.com/intact/corporate/)
11:53:06	38452/38452	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Aug%202017%2006:23:04%20GMT	http://keydesign-themes.com/intact/corporate/linkid.js	D:/techlopers/keydesign-themes.com/intact/corporate/linkid.4.delayed	(from http://keydesign-themes.com/intact/corporate/)
11:53:07	19625/19625	---M-Z	200	added ('OK')	application/javascript	etag:%224ca9-5519667aa9b6a-gzip%22	http://keydesign-themes.com/intact/corporate/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend.js?ver=6.2.0	D:/techlopers/keydesign-themes.com/intact/corporate/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend10df.js	(from http://keydesign-themes.com/intact/corporate/)
11:53:08	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%222748-5334426f5f800-gzip%22	http://keydesign-themes.com/intact/corporate/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	D:/techlopers/keydesign-themes.com/intact/corporate/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://keydesign-themes.com/intact/corporate/)
